case_id,scenario,n_affected,lag,root,channel,role,break_type,homogeneous,delta_midcls,delta_attn
NA0_LAG10_022,NA0_LAG10,0,10,6,1,unrelated,,,0.001231551170349121,0.022187769412994385
NA0_LAG10_022,NA0_LAG10,0,10,6,2,unrelated,,,0.0008873343467712402,0.007455050945281982
NA0_LAG10_022,NA0_LAG10,0,10,6,3,unrelated,,,0.0020377039909362793,0.00892484188079834
NA0_LAG10_022,NA0_LAG10,0,10,6,4,unrelated,,,0.002575218677520752,0.00615084171295166
NA0_LAG10_022,NA0_LAG10,0,10,6,5,unrelated,,,0.0027320384979248047,0.007346212863922119
NA0_LAG10_023,NA0_LAG10,0,10,2,1,unrelated,,,0.05129295587539673,0.18989717960357666
NA0_LAG10_023,NA0_LAG10,0,10,2,3,unrelated,,,0.05145823955535889,0.18196868896484375
NA0_LAG10_023,NA0_LAG10,0,10,2,4,unrelated,,,0.05073577165603638,0.1905655860900879
NA0_LAG10_023,NA0_LAG10,0,10,2,5,unrelated,,,0.04998290538787842,0.20624780654907227
NA0_LAG10_023,NA0_LAG10,0,10,2,6,unrelated,,,0.05087268352508545,0.18217909336090088
NA0_LAG10_024,NA0_LAG10,0,10,4,1,unrelated,,,0.05506563186645508,0.12742489576339722
NA0_LAG10_024,NA0_LAG10,0,10,4,2,unrelated,,,0.05363410711288452,0.166192889213562
NA0_LAG10_024,NA0_LAG10,0,10,4,3,unrelated,,,0.05605393648147583,0.10465556383132935
NA0_LAG10_024,NA0_LAG10,0,10,4,5,unrelated,,,0.05544096231460571,0.12013661861419678
NA0_LAG10_024,NA0_LAG10,0,10,4,6,unrelated,,,0.053800225257873535,0.14621347188949585
NA0_LAG10_025,NA0_LAG10,0,10,5,1,unrelated,,,-0.0004436969757080078,0.008385837078094482
NA0_LAG10_025,NA0_LAG10,0,10,5,2,unrelated,,,-0.0004892945289611816,0.005740344524383545
NA0_LAG10_025,NA0_LAG10,0,10,5,3,unrelated,,,0.0002073049545288086,0.011718451976776123
NA0_LAG10_025,NA0_LAG10,0,10,5,4,unrelated,,,-0.0005930066108703613,0.0031198859214782715
NA0_LAG10_025,NA0_LAG10,0,10,5,6,unrelated,,,-0.00033789873123168945,0.008196055889129639
NA0_LAG10_026,NA0_LAG10,0,10,4,1,unrelated,,,0.0017715096473693848,0.014576435089111328
NA0_LAG10_026,NA0_LAG10,0,10,4,2,unrelated,,,0.0032781362533569336,0.017198562622070312
NA0_LAG10_026,NA0_LAG10,0,10,4,3,unrelated,,,0.001424252986907959,0.004414200782775879
NA0_LAG10_026,NA0_LAG10,0,10,4,5,unrelated,,,0.005356729030609131,0.013798296451568604
NA0_LAG10_026,NA0_LAG10,0,10,4,6,unrelated,,,0.0019722580909729004,0.014269113540649414
NA0_LAG10_027,NA0_LAG10,0,10,4,1,unrelated,,,0.0033441781997680664,0.011410355567932129
NA0_LAG10_027,NA0_LAG10,0,10,4,2,unrelated,,,0.0013544559478759766,0.0093841552734375
NA0_LAG10_027,NA0_LAG10,0,10,4,3,unrelated,,,0.003213822841644287,0.015196025371551514
NA0_LAG10_027,NA0_LAG10,0,10,4,5,unrelated,,,0.002277553081512451,0.0024139881134033203
NA0_LAG10_027,NA0_LAG10,0,10,4,6,unrelated,,,0.0033776164054870605,0.01300269365310669
NA0_LAG10_028,NA0_LAG10,0,10,4,1,unrelated,,,0.00037682056427001953,0.0060773491859436035
NA0_LAG10_028,NA0_LAG10,0,10,4,2,unrelated,,,6.29425048828125e-05,0.008945286273956299
NA0_LAG10_028,NA0_LAG10,0,10,4,3,unrelated,,,-0.0003598928451538086,0.001617431640625
NA0_LAG10_028,NA0_LAG10,0,10,4,5,unrelated,,,-0.0002568364143371582,0.0012074112892150879
NA0_LAG10_028,NA0_LAG10,0,10,4,6,unrelated,,,-0.001064300537109375,0.003321349620819092
NA0_LAG10_029,NA0_LAG10,0,10,4,1,unrelated,,,-0.000377655029296875,0.010948240756988525
NA0_LAG10_029,NA0_LAG10,0,10,4,2,unrelated,,,0.00019180774688720703,0.031312644481658936
NA0_LAG10_029,NA0_LAG10,0,10,4,3,unrelated,,,-0.001739501953125,0.022798776626586914
NA0_LAG10_029,NA0_LAG10,0,10,4,5,unrelated,,,-0.00046563148498535156,0.017748773097991943
NA0_LAG10_029,NA0_LAG10,0,10,4,6,unrelated,,,-0.0005859136581420898,0.042793869972229004
NA0_LAG50_000,NA0_LAG50,0,50,3,1,unrelated,,,0.004409849643707275,0.018992841243743896
NA0_LAG50_000,NA0_LAG50,0,50,3,2,unrelated,,,0.00431668758392334,0.017528414726257324
NA0_LAG50_000,NA0_LAG50,0,50,3,4,unrelated,,,0.002811729907989502,0.0004895925521850586
NA0_LAG50_000,NA0_LAG50,0,50,3,5,unrelated,,,0.0025789737701416016,0.0020313262939453125
NA0_LAG50_000,NA0_LAG50,0,50,3,6,unrelated,,,0.0030366182327270508,0.004001200199127197
NA0_LAG50_001,NA0_LAG50,0,50,1,2,unrelated,,,0.04924726486206055,0.14731097221374512
NA0_LAG50_001,NA0_LAG50,0,50,1,3,unrelated,,,0.04979836940765381,0.14839982986450195
NA0_LAG50_001,NA0_LAG50,0,50,1,4,unrelated,,,0.049846649169921875,0.14410752058029175
NA0_LAG50_001,NA0_LAG50,0,50,1,5,unrelated,,,0.04514896869659424,0.12862563133239746
NA0_LAG50_001,NA0_LAG50,0,50,1,6,unrelated,,,0.04751574993133545,0.1764090657234192
NA0_LAG50_002,NA0_LAG50,0,50,5,1,unrelated,,,-0.0003350377082824707,0.2031192183494568
NA0_LAG50_002,NA0_LAG50,0,50,5,2,unrelated,,,-0.0005629062652587891,0.22488003969192505
NA0_LAG50_002,NA0_LAG50,0,50,5,3,unrelated,,,-2.7358531951904297e-05,0.20958542823791504
NA0_LAG50_002,NA0_LAG50,0,50,5,4,unrelated,,,-0.00043404102325439453,0.21944904327392578
NA0_LAG50_002,NA0_LAG50,0,50,5,6,unrelated,,,-0.0006028413772583008,0.21445167064666748
NA0_LAG50_003,NA0_LAG50,0,50,2,1,unrelated,,,0.050801873207092285,0.11247009038925171
NA0_LAG50_003,NA0_LAG50,0,50,2,3,unrelated,,,0.05146664381027222,0.15332520008087158
NA0_LAG50_003,NA0_LAG50,0,50,2,4,unrelated,,,0.05099177360534668,0.13759982585906982
