case_id,scenario,n_affected,lag,root,channel,role,break_type,homogeneous,dist_pre_cls,dist_post_cls,delta_cls,dist_pre_patch,dist_post_patch,delta_patch
NA0_LAG10_006,NA0_LAG10,0,10,4,5,unrelated,,,0.009541571140289307,0.21565330028533936,0.20611172914505005,0.008262574672698975,0.21076452732086182,0.20250195264816284
NA0_LAG10_006,NA0_LAG10,0,10,4,6,unrelated,,,0.013631880283355713,0.21336811780929565,0.19973623752593994,0.008971631526947021,0.20739823579788208,0.19842660427093506
NA0_LAG10_007,NA0_LAG10,0,10,1,2,unrelated,,,0.04514956474304199,0.017012178897857666,-0.028137385845184326,0.024869441986083984,0.01379925012588501,-0.011070191860198975
NA0_LAG10_007,NA0_LAG10,0,10,1,3,unrelated,,,0.02604508399963379,0.025844156742095947,-0.0002009272575378418,0.02041858434677124,0.021130919456481934,0.0007123351097106934
NA0_LAG10_007,NA0_LAG10,0,10,1,4,unrelated,,,0.02542293071746826,0.014124810695648193,-0.011298120021820068,0.01549142599105835,0.013736069202423096,-0.001755356788635254
NA0_LAG10_007,NA0_LAG10,0,10,1,5,unrelated,,,0.01587766408920288,0.02074873447418213,0.004871070384979248,0.0103302001953125,0.0174219012260437,0.007091701030731201
NA0_LAG10_007,NA0_LAG10,0,10,1,6,unrelated,,,0.018023192882537842,0.02231377363204956,0.004290580749511719,0.010573267936706543,0.015491068363189697,0.004917800426483154
NA0_LAG10_008,NA0_LAG10,0,10,3,1,unrelated,,,0.02113550901412964,0.03250378370285034,0.011368274688720703,0.0156286358833313,0.027658402919769287,0.012029767036437988
NA0_LAG10_008,NA0_LAG10,0,10,3,2,unrelated,,,0.041961491107940674,0.035591721534729004,-0.00636976957321167,0.020667552947998047,0.034855008125305176,0.014187455177307129
NA0_LAG10_008,NA0_LAG10,0,10,3,4,unrelated,,,0.024032950401306152,0.0348544716835022,0.010821521282196045,0.01916670799255371,0.029809653759002686,0.010642945766448975
NA0_LAG10_008,NA0_LAG10,0,10,3,5,unrelated,,,0.015393257141113281,0.022060751914978027,0.006667494773864746,0.009030640125274658,0.020571887493133545,0.011541247367858887
NA0_LAG10_008,NA0_LAG10,0,10,3,6,unrelated,,,0.04477059841156006,0.03208160400390625,-0.012688994407653809,0.024079561233520508,0.03018951416015625,0.006109952926635742
NA0_LAG10_009,NA0_LAG10,0,10,5,1,unrelated,,,0.009264767169952393,0.023472130298614502,0.01420736312866211,0.007359206676483154,0.020910143852233887,0.013550937175750732
NA0_LAG10_009,NA0_LAG10,0,10,5,2,unrelated,,,0.013509273529052734,0.020952582359313965,0.0074433088302612305,0.008899569511413574,0.02059537172317505,0.011695802211761475
NA0_LAG10_009,NA0_LAG10,0,10,5,3,unrelated,,,0.025762736797332764,0.01936173439025879,-0.006401002407073975,0.017289340496063232,0.015626370906829834,-0.0016629695892333984
NA0_LAG10_009,NA0_LAG10,0,10,5,4,unrelated,,,0.01485353708267212,0.031951308250427246,0.017097771167755127,0.009453058242797852,0.025892257690429688,0.016439199447631836
NA0_LAG10_009,NA0_LAG10,0,10,5,6,unrelated,,,0.012578189373016357,0.02961176633834839,0.01703357696533203,0.00924307107925415,0.028267204761505127,0.019024133682250977
NA0_LAG10_010,NA0_LAG10,0,10,5,1,unrelated,,,0.050193607807159424,0.022461354732513428,-0.027732253074645996,0.04497939348220825,0.01632744073867798,-0.028651952743530273
NA0_LAG10_010,NA0_LAG10,0,10,5,2,unrelated,,,0.018846094608306885,0.01952308416366577,0.0006769895553588867,0.017541050910949707,0.015680909156799316,-0.0018601417541503906
NA0_LAG10_010,NA0_LAG10,0,10,5,3,unrelated,,,0.02631688117980957,0.02542978525161743,-0.0008870959281921387,0.026293158531188965,0.02097529172897339,-0.005317866802215576
NA0_LAG10_010,NA0_LAG10,0,10,5,4,unrelated,,,0.015998125076293945,0.021119117736816406,0.005120992660522461,0.015144169330596924,0.016478896141052246,0.0013347268104553223
NA0_LAG10_010,NA0_LAG10,0,10,5,6,unrelated,,,0.02110224962234497,0.015291988849639893,-0.005810260772705078,0.01830083131790161,0.010505139827728271,-0.00779569149017334
NA0_LAG10_011,NA0_LAG10,0,10,2,1,unrelated,,,0.0125274658203125,0.2262541651725769,0.2137266993522644,0.008363187313079834,0.19256502389907837,0.18420183658599854
NA0_LAG10_011,NA0_LAG10,0,10,2,3,unrelated,,,0.009524762630462646,0.2214682698249817,0.21194350719451904,0.007456600666046143,0.18731313943862915,0.179856538772583
NA0_LAG10_011,NA0_LAG10,0,10,2,4,unrelated,,,0.009330451488494873,0.23646068572998047,0.2271302342414856,0.005105555057525635,0.19899660348892212,0.19389104843139648
