dataset,signal_id,model,f1_max,f1_alpha,f1_01,f1_001,f1_0001,precision,recall,affi_f1,affi_precision,affi_recall,status,timestamp
SMAP,G-2,VLM4TS,0.306,0.001,0.201,0.2628,0.306,0.1806,1.0,0.9939,0.9879,1.0,ok,2026-04-06T21:30:56.516251
SMAP,G-2,LLM-TSAD,0.0476,fixed,0.0476,0.0476,0.0476,1.0,0.0244,0.9988,1.0,0.9976,ok,2026-04-06T21:32:46.204710
SMAP,G-3,ViT4TS,0.2656,0.001,0.1303,0.2004,0.2656,0.1532,1.0,0.6397,0.4702,1.0,ok,2026-04-06T21:34:21.888063
SMAP,G-3,VLM4TS,0.2656,0.001,0.1303,0.2004,0.2656,0.1532,1.0,0.6397,0.4702,1.0,ok,2026-04-06T21:36:17.542686
SMAP,G-3,LLM-TSAD,0.0294,fixed,0.0294,0.0294,0.0294,0.0588,0.0196,0.3823,0.2365,0.997,ok,2026-04-06T21:38:30.895894
SMAP,G-4,ViT4TS,0.2279,0.001,0.1685,0.202,0.2279,0.1286,1.0,0.9936,0.9872,1.0,ok,2026-04-06T21:39:59.549266
SMAP,G-4,VLM4TS,0.2279,0.001,0.0,0.202,0.2279,0.1286,1.0,0.9936,0.9872,1.0,ok,2026-04-06T21:41:45.055506
SMAP,G-4,LLM-TSAD,0.0014,fixed,0.0014,0.0014,0.0014,0.0007,0.0323,0.5253,0.3563,0.9986,ok,2026-04-06T21:43:54.644300
SMAP,G-6,ViT4TS,0.2149,0.01,0.0551,0.2149,0.0,0.1844,0.2574,0.5296,0.3606,0.9962,ok,2026-04-06T21:45:35.425764
SMAP,G-6,VLM4TS,0.2364,0.01,0.1816,0.2364,0.0,0.2185,0.2574,0.5862,0.4152,0.9962,ok,2026-04-06T21:47:33.695417
SMAP,G-6,LLM-TSAD,0.0,fixed,0.0,0.0,0.0,0.0,0.0,0.2516,0.2511,0.2521,ok,2026-04-06T21:49:44.688607
SMAP,G-7,ViT4TS,0.6041,0.01,0.3132,0.6041,0.5721,0.6667,0.5522,0.7911,0.9794,0.6636,ok,2026-04-06T21:51:14.436605
SMAP,G-7,VLM4TS,0.6041,0.01,0.4947,0.6041,0.5721,0.6667,0.5522,0.7911,0.9794,0.6636,ok,2026-04-06T21:53:02.599421
SMAP,G-7,LLM-TSAD,0.3568,fixed,0.3568,0.3568,0.3568,0.5462,0.2649,0.8615,0.7598,0.9945,ok,2026-04-06T21:55:30.395314
SMAP,P-1,ViT4TS,0.6427,0.1,0.6427,0.573,0.2018,0.5618,0.751,0.9048,0.8277,0.9977,ok,2026-04-06T21:57:10.282607
SMAP,P-1,VLM4TS,0.7773,0.1,0.7773,0.1331,0.2072,0.844,0.7204,0.7961,0.988,0.6666,ok,2026-04-06T21:59:08.439492
SMAP,P-1,LLM-TSAD,0.0,fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,2026-04-06T22:01:32.743864
SMAP,P-3,ViT4TS,0.8468,0.1,0.8468,0.5327,0.0,1.0,0.7343,0.9989,1.0,0.9978,ok,2026-04-06T22:03:11.906822
SMAP,P-3,VLM4TS,0.8468,0.1,0.8468,0.6566,0.0,1.0,0.7343,0.9989,1.0,0.9978,ok,2026-04-06T22:05:06.295521
SMAP,P-3,LLM-TSAD,0.3369,fixed,0.3369,0.3369,0.3369,0.6742,0.2246,0.8958,0.8129,0.9974,ok,2026-04-06T22:07:34.559016
SMAP,P-4,ViT4TS,0.7568,0.01,0.6966,0.7568,0.7445,0.7065,0.8149,0.9875,0.9775,0.9979,ok,2026-04-06T22:09:23.609870
SMAP,P-4,VLM4TS,0.7568,0.01,0.6966,0.7568,0.7445,0.7065,0.8149,0.9875,0.9775,0.9979,ok,2026-04-06T22:11:35.753020
SMAP,P-4,LLM-TSAD,0.0781,fixed,0.0781,0.0781,0.0781,1.0,0.0406,0.9925,1.0,0.9851,ok,2026-04-06T22:14:00.262089
SMAP,P-7,ViT4TS,0.9501,0.1,0.9501,0.668,0.0,1.0,0.9049,0.9995,1.0,0.999,ok,2026-04-06T22:15:33.811611
SMAP,P-7,VLM4TS,0.9501,0.1,0.9501,0.3531,0.0,1.0,0.9049,0.9995,1.0,0.999,ok,2026-04-06T22:17:22.466097
SMAP,P-7,LLM-TSAD,0.0359,fixed,0.0359,0.0359,0.0359,0.4026,0.0188,0.769,0.6277,0.9926,ok,2026-04-06T22:19:45.223581
SMAP,R-1,ViT4TS,0.5243,0.001,0.3673,0.4563,0.5243,0.3553,1.0,0.9943,0.9887,1.0,ok,2026-04-06T22:21:30.883653
SMAP,R-1,VLM4TS,0.5243,0.001,0.3673,0.4563,0.5243,0.3553,1.0,0.9943,0.9887,1.0,ok,2026-04-06T22:23:34.091315
SMAP,R-1,LLM-TSAD,0.019,fixed,0.019,0.019,0.019,0.0417,0.0123,0.4786,0.315,0.9959,ok,2026-04-06T22:26:17.750064
SMAP,S-1,ViT4TS,0.932,0.1,0.932,0.8468,0.8005,0.947,0.9174,0.992,0.9841,0.9999,ok,2026-04-06T22:27:46.075580
SMAP,S-1,VLM4TS,0.9533,0.1,0.9533,0.8468,0.8005,1.0,0.9107,0.9999,1.0,0.9997,ok,2026-04-06T22:29:31.552112
SMAP,S-1,LLM-TSAD,0.559,fixed,0.559,0.559,0.559,0.5432,0.5759,0.9456,0.8977,0.999,ok,2026-04-06T22:32:02.918830
SMAP,T-1,ViT4TS,0.2775,0.1,0.2775,0.0324,0.0,0.3349,0.237,0.7958,0.6629,0.9954,ok,2026-04-06T22:33:42.437524
SMAP,T-1,VLM4TS,0.2125,0.1,0.2125,0.0324,0.0,0.341,0.1543,0.8122,0.6895,0.9881,ok,2026-04-06T22:35:40.903438
SMAP,T-1,LLM-TSAD,0.1514,fixed,0.1514,0.1514,0.1514,0.1833,0.1289,0.8009,0.6704,0.9945,ok,2026-04-06T22:38:40.264033
SMAP,T-2,ViT4TS,0.2913,0.1,0.2913,0.0703,0.0,0.3737,0.2387,0.6412,0.4739,0.9909,ok,2026-04-06T22:40:20.210500
SMAP,T-2,VLM4TS,0.1504,0.1,0.1504,0.0703,0.0,0.6441,0.0852,0.7718,0.6661,0.9175,ok,2026-04-06T22:42:16.831743
SMAP,T-2,LLM-TSAD,0.0248,fixed,0.0248,0.0248,0.0248,0.0355,0.019,0.571,0.4002,0.9961,ok,2026-04-06T22:44:52.425677
SMAP,T-3,ViT4TS,0.5768,0.01,0.4444,0.5768,0.5431,0.4053,1.0,0.9889,0.9781,1.0,ok,2026-04-06T22:46:34.334700
SMAP,T-3,VLM4TS,0.5768,0.01,0.4444,0.5768,0.5431,0.4053,1.0,0.9889,0.9781,1.0,ok,2026-04-06T22:48:34.099367
SMAP,T-3,LLM-TSAD,0.0207,fixed,0.0207,0.0207,0.0207,0.2222,0.0109,0.8992,0.8228,0.9912,ok,2026-04-06T22:50:45.543114
