case_id,scenario,n_affected,lag,ch_i,ch_j,role_i,role_j,gt_edge,corr_full,corr_post,attn_sim,pair_type_match
NA0_LAG10_005,NA0_LAG10,0,10,4,6,unrelated,unrelated,0,0.9956727092546004,0.9953654783427404,0.9951781630516052,
NA0_LAG10_005,NA0_LAG10,0,10,5,6,unrelated,unrelated,0,0.9961693717577612,0.9960216963166874,0.9912950992584229,
NA0_LAG10_006,NA0_LAG10,0,10,1,2,unrelated,unrelated,0,0.9952415572047855,0.9950615635946785,0.9970919489860535,
NA0_LAG10_006,NA0_LAG10,0,10,1,3,unrelated,unrelated,0,0.9952030710561586,0.9952748427699656,0.9723853468894958,
NA0_LAG10_006,NA0_LAG10,0,10,1,4,unrelated,root,0,0.5746438962493104,0.02007122230503825,0.8380579948425293,
NA0_LAG10_006,NA0_LAG10,0,10,1,5,unrelated,unrelated,0,0.9952041657417214,0.99508551663943,0.9982401132583618,
NA0_LAG10_006,NA0_LAG10,0,10,1,6,unrelated,unrelated,0,0.9949736421506089,0.9950836634046171,0.9974880814552307,
NA0_LAG10_006,NA0_LAG10,0,10,2,3,unrelated,unrelated,0,0.9951054296559896,0.9952373570655413,0.9803134799003601,
NA0_LAG10_006,NA0_LAG10,0,10,2,4,unrelated,root,0,0.5719666421139232,0.02036775539636043,0.8172914981842041,
NA0_LAG10_006,NA0_LAG10,0,10,2,5,unrelated,unrelated,0,0.9951089114079393,0.9956841138139593,0.9960811138153076,
NA0_LAG10_006,NA0_LAG10,0,10,2,6,unrelated,unrelated,0,0.9955287689925971,0.9957276268508806,0.9976808428764343,
NA0_LAG10_006,NA0_LAG10,0,10,3,4,unrelated,root,0,0.5764807965774545,0.02072190019946892,0.7875940799713135,
NA0_LAG10_006,NA0_LAG10,0,10,3,5,unrelated,unrelated,0,0.9948838857646103,0.9953406485413389,0.9758260846138,
NA0_LAG10_006,NA0_LAG10,0,10,3,6,unrelated,unrelated,0,0.9958710685140415,0.9957724512885868,0.9822871685028076,
NA0_LAG10_006,NA0_LAG10,0,10,4,5,root,unrelated,0,0.5729589022310476,0.015669332925397357,0.8411259055137634,
NA0_LAG10_006,NA0_LAG10,0,10,4,6,root,unrelated,0,0.5708057708985215,0.02436162846055536,0.8315184116363525,
NA0_LAG10_006,NA0_LAG10,0,10,5,6,unrelated,unrelated,0,0.9952867219773466,0.9956422441290147,0.9983256459236145,
NA0_LAG10_007,NA0_LAG10,0,10,1,2,root,unrelated,0,0.9601532373186689,0.9974221899854931,0.9961966276168823,
NA0_LAG10_007,NA0_LAG10,0,10,1,3,root,unrelated,0,0.9574552020679583,0.9968928748114623,0.9894095659255981,
NA0_LAG10_007,NA0_LAG10,0,10,1,4,root,unrelated,0,0.9582074889658596,0.9969647338900214,0.990715742111206,
NA0_LAG10_007,NA0_LAG10,0,10,1,5,root,unrelated,0,0.9566287736879657,0.9969787608801922,0.9897468686103821,
NA0_LAG10_007,NA0_LAG10,0,10,1,6,root,unrelated,0,0.9600235993102636,0.9966004776384242,0.9870356917381287,
NA0_LAG10_007,NA0_LAG10,0,10,2,3,unrelated,unrelated,0,0.9953284481176919,0.9958079778219037,0.994645893573761,
NA0_LAG10_007,NA0_LAG10,0,10,2,4,unrelated,unrelated,0,0.9956463494154351,0.9958797764966217,0.9910978674888611,
NA0_LAG10_007,NA0_LAG10,0,10,2,5,unrelated,unrelated,0,0.9951169248430377,0.9954191635842796,0.9950684905052185,
NA0_LAG10_007,NA0_LAG10,0,10,2,6,unrelated,unrelated,0,0.9960572608729001,0.9959032743327353,0.9942766427993774,
NA0_LAG10_007,NA0_LAG10,0,10,3,4,unrelated,unrelated,0,0.9955676093485631,0.995488761570723,0.9915529489517212,
NA0_LAG10_007,NA0_LAG10,0,10,3,5,unrelated,unrelated,0,0.9947687835390044,0.9948463083229425,0.9975369572639465,
NA0_LAG10_007,NA0_LAG10,0,10,3,6,unrelated,unrelated,0,0.9950249977058466,0.995116548369182,0.996304452419281,
NA0_LAG10_007,NA0_LAG10,0,10,4,5,unrelated,unrelated,0,0.9957748765976284,0.9959459948594647,0.9904251098632812,
NA0_LAG10_007,NA0_LAG10,0,10,4,6,unrelated,unrelated,0,0.9961099339419287,0.9961673307740556,0.9894315600395203,
NA0_LAG10_007,NA0_LAG10,0,10,5,6,unrelated,unrelated,0,0.9955536689031979,0.9957159223541939,0.9972387552261353,
NA0_LAG10_008,NA0_LAG10,0,10,1,2,unrelated,unrelated,0,0.9953458147437448,0.9954583333461116,0.9782684445381165,
NA0_LAG10_008,NA0_LAG10,0,10,1,3,unrelated,root,0,0.9591807938545385,0.9969233063543871,0.9680684208869934,
NA0_LAG10_008,NA0_LAG10,0,10,1,4,unrelated,unrelated,0,0.9943837202282253,0.9944598120575519,0.9971781373023987,
NA0_LAG10_008,NA0_LAG10,0,10,1,5,unrelated,unrelated,0,0.994822299219599,0.9947130551482838,0.9763625264167786,
NA0_LAG10_008,NA0_LAG10,0,10,1,6,unrelated,unrelated,0,0.9946953697188664,0.9942076822681678,0.9948575496673584,
NA0_LAG10_008,NA0_LAG10,0,10,2,3,unrelated,root,0,0.9597499788316677,0.9974997208244721,0.9942466616630554,
NA0_LAG10_008,NA0_LAG10,0,10,2,4,unrelated,unrelated,0,0.9949296142824757,0.9947676262483762,0.9879660606384277,
NA0_LAG10_008,NA0_LAG10,0,10,2,5,unrelated,unrelated,0,0.9956041339611731,0.9954929453273907,0.9906730651855469,
NA0_LAG10_008,NA0_LAG10,0,10,2,6,unrelated,unrelated,0,0.9951314696497263,0.9949164687630627,0.9874230623245239,
NA0_LAG10_008,NA0_LAG10,0,10,3,4,root,unrelated,0,0.9602251079904081,0.9970038568174293,0.9793438911437988,
NA0_LAG10_008,NA0_LAG10,0,10,3,5,root,unrelated,0,0.9591326511243846,0.9973854982724745,0.9912068843841553,
NA0_LAG10_008,NA0_LAG10,0,10,3,6,root,unrelated,0,0.9591016206361656,0.9965562206297175,0.9809244275093079,
NA0_LAG10_008,NA0_LAG10,0,10,4,5,unrelated,unrelated,0,0.9954295394276554,0.9955385978074341,0.9856566786766052,
NA0_LAG10_008,NA0_LAG10,0,10,4,6,unrelated,unrelated,0,0.9948776436396111,0.9945272546532925,0.9959936738014221,
NA0_LAG10_008,NA0_LAG10,0,10,5,6,unrelated,unrelated,0,0.9955907321226953,0.9955268047546624,0.9851031303405762,
NA0_LAG10_009,NA0_LAG10,0,10,1,2,unrelated,unrelated,0,0.9954376882090059,0.9954320194494538,0.9981387853622437,
NA0_LAG10_009,NA0_LAG10,0,10,1,3,unrelated,unrelated,0,0.9956393745259553,0.9959500196679139,0.993575930595398,
NA0_LAG10_009,NA0_LAG10,0,10,1,4,unrelated,unrelated,0,0.9950839176081933,0.994962852845349,0.9972235560417175,
NA0_LAG10_009,NA0_LAG10,0,10,1,5,unrelated,root,0,0.9601189580649718,0.9971408073724387,0.9748953580856323,
NA0_LAG10_009,NA0_LAG10,0,10,1,6,unrelated,unrelated,0,0.9951371781966863,0.9946290805081337,0.9920418858528137,
NA0_LAG10_009,NA0_LAG10,0,10,2,3,unrelated,unrelated,0,0.9952801576541509,0.9954740797232321,0.9929105043411255,
NA0_LAG10_009,NA0_LAG10,0,10,2,4,unrelated,unrelated,0,0.9944814988911896,0.9943124647828316,0.996356189250946,
NA0_LAG10_009,NA0_LAG10,0,10,2,5,unrelated,root,0,0.9588725882661612,0.9970569431454711,0.9762417674064636,
NA0_LAG10_009,NA0_LAG10,0,10,2,6,unrelated,unrelated,0,0.9951861621676619,0.9951431738374429,0.9932199716567993,
NA0_LAG10_009,NA0_LAG10,0,10,3,4,unrelated,unrelated,0,0.995802032241112,0.9956621619627367,0.9941655397415161,
NA0_LAG10_009,NA0_LAG10,0,10,3,5,unrelated,root,0,0.9559249649134827,0.9972614235315663,0.9839599132537842,
NA0_LAG10_009,NA0_LAG10,0,10,3,6,unrelated,unrelated,0,0.995911623161894,0.9956465752576683,0.9859970211982727,
NA0_LAG10_009,NA0_LAG10,0,10,4,5,unrelated,root,0,0.9598509481239855,0.9968891095183967,0.9699906706809998,
NA0_LAG10_009,NA0_LAG10,0,10,4,6,unrelated,unrelated,0,0.9958879133573646,0.9954099420378449,0.9863695502281189,
NA0_LAG10_009,NA0_LAG10,0,10,5,6,root,unrelated,0,0.9589982676124233,0.9967580181311656,0.9833282232284546,
NA0_LAG10_010,NA0_LAG10,0,10,1,2,unrelated,unrelated,0,0.995065228463443,0.9953053438340131,0.9946980476379395,
NA0_LAG10_010,NA0_LAG10,0,10,1,3,unrelated,unrelated,0,0.9950552212391822,0.9945022124074396,0.9867428541183472,
NA0_LAG10_010,NA0_LAG10,0,10,1,4,unrelated,unrelated,0,0.9945484527243874,0.9946173864574577,0.9932931065559387,
NA0_LAG10_010,NA0_LAG10,0,10,1,5,unrelated,root,0,0.9578734232565238,0.9964574810472496,0.9950770735740662,
NA0_LAG10_010,NA0_LAG10,0,10,1,6,unrelated,unrelated,0,0.9954356420073142,0.9953681164609426,0.9935519695281982,
NA0_LAG10_010,NA0_LAG10,0,10,2,3,unrelated,unrelated,0,0.995047659509156,0.9956186960588675,0.9964171648025513,
NA0_LAG10_010,NA0_LAG10,0,10,2,4,unrelated,unrelated,0,0.995320848981166,0.995887572792846,0.9981537461280823,
NA0_LAG10_010,NA0_LAG10,0,10,2,5,unrelated,root,0,0.9566133870421184,0.9974117459376971,0.9959166646003723,
NA0_LAG10_010,NA0_LAG10,0,10,2,6,unrelated,unrelated,0,0.9953423311793534,0.9961700355887826,0.9977446794509888,
NA0_LAG10_010,NA0_LAG10,0,10,3,4,unrelated,unrelated,0,0.994766503977405,0.9949626391977756,0.9947549104690552,
NA0_LAG10_010,NA0_LAG10,0,10,3,5,unrelated,root,0,0.9579284345868295,0.9969621336509177,0.9917984008789062,
NA0_LAG10_010,NA0_LAG10,0,10,3,6,unrelated,unrelated,0,0.9949207754400295,0.9949608046226834,0.9929584264755249,
NA0_LAG10_010,NA0_LAG10,0,10,4,5,unrelated,root,0,0.958861379831189,0.9971104755643572,0.9933727383613586,
NA0_LAG10_010,NA0_LAG10,0,10,4,6,unrelated,unrelated,0,0.9950513138493622,0.9955483926874537,0.9983634948730469,
NA0_LAG10_010,NA0_LAG10,0,10,5,6,root,unrelated,0,0.9606508822968022,0.9972269416377915,0.9923487901687622,
NA0_LAG10_011,NA0_LAG10,0,10,1,2,unrelated,root,0,0.5795541073284152,0.06423630726779492,0.8448198437690735,
NA0_LAG10_011,NA0_LAG10,0,10,1,3,unrelated,unrelated,0,0.9943032345222715,0.9945027263088654,0.9958992004394531,
NA0_LAG10_011,NA0_LAG10,0,10,1,4,unrelated,unrelated,0,0.9946176688825523,0.9943535909743367,0.9970077872276306,
NA0_LAG10_011,NA0_LAG10,0,10,1,5,unrelated,unrelated,0,0.9949203187729038,0.9949888987660734,0.9943764209747314,
NA0_LAG10_011,NA0_LAG10,0,10,1,6,unrelated,unrelated,0,0.9945450116069589,0.9947469402446455,0.9927776455879211,
NA0_LAG10_011,NA0_LAG10,0,10,2,3,root,unrelated,0,0.5800787382400687,0.0640975066188341,0.8453517556190491,
NA0_LAG10_011,NA0_LAG10,0,10,2,4,root,unrelated,0,0.5760143240468711,0.061951755883118374,0.8553264737129211,
NA0_LAG10_011,NA0_LAG10,0,10,2,5,root,unrelated,0,0.5774632845092881,0.0614817679399967,0.830302357673645,
NA0_LAG10_011,NA0_LAG10,0,10,2,6,root,unrelated,0,0.5790846030500754,0.05625833274588036,0.8344948887825012,
NA0_LAG10_011,NA0_LAG10,0,10,3,4,unrelated,unrelated,0,0.9944707162014959,0.9947918812460579,0.9937800765037537,
NA0_LAG10_011,NA0_LAG10,0,10,3,5,unrelated,unrelated,0,0.9944447120965171,0.9946918533927318,0.9972772598266602,
NA0_LAG10_011,NA0_LAG10,0,10,3,6,unrelated,unrelated,0,0.9945561467212516,0.9946386787844204,0.9870638847351074,
NA0_LAG10_011,NA0_LAG10,0,10,4,5,unrelated,unrelated,0,0.9953004190507218,0.9954607805515867,0.9931141138076782,
NA0_LAG10_011,NA0_LAG10,0,10,4,6,unrelated,unrelated,0,0.9946002954105457,0.9946395125028106,0.9891313314437866,
NA0_LAG10_011,NA0_LAG10,0,10,5,6,unrelated,unrelated,0,0.9954445360764776,0.9957702300170155,0.9847396016120911,
NA0_LAG10_012,NA0_LAG10,0,10,1,2,unrelated,unrelated,0,0.995433307371446,0.9955238171465739,0.9894254207611084,
NA0_LAG10_012,NA0_LAG10,0,10,1,3,unrelated,unrelated,0,0.9951927765991049,0.9949730364224645,0.9762689471244812,
NA0_LAG10_012,NA0_LAG10,0,10,1,4,unrelated,unrelated,0,0.9939365806852195,0.9940838362156242,0.9879493713378906,
NA0_LAG10_012,NA0_LAG10,0,10,1,5,unrelated,root,0,0.5682469524542882,0.002273065908441421,0.7782971858978271,
NA0_LAG10_012,NA0_LAG10,0,10,1,6,unrelated,unrelated,0,0.9953316394123972,0.9946162719420482,0.9910767078399658,
NA0_LAG10_012,NA0_LAG10,0,10,2,3,unrelated,unrelated,0,0.9959035503551776,0.9958531489113802,0.9925651550292969,
NA0_LAG10_012,NA0_LAG10,0,10,2,4,unrelated,unrelated,0,0.9951893036334801,0.9952242519143131,0.9957250356674194,
NA0_LAG10_012,NA0_LAG10,0,10,2,5,unrelated,root,0,0.5749817388907739,0.004029067567211991,0.7972138524055481,
NA0_LAG10_012,NA0_LAG10,0,10,2,6,unrelated,unrelated,0,0.9954311010619015,0.9954993958430399,0.9880871772766113,
NA0_LAG10_012,NA0_LAG10,0,10,3,4,unrelated,unrelated,0,0.9949929181227471,0.9949430370697635,0.9920445680618286,
NA0_LAG10_012,NA0_LAG10,0,10,3,5,unrelated,root,0,0.5695075790392,0.014255457251873905,0.7952104806900024,
NA0_LAG10_012,NA0_LAG10,0,10,3,6,unrelated,unrelated,0,0.9958549366072637,0.9956391510850864,0.9833211898803711,
NA0_LAG10_012,NA0_LAG10,0,10,4,5,unrelated,root,0,0.5744576839189558,0.001710218752944204,0.80251544713974,
NA0_LAG10_012,NA0_LAG10,0,10,4,6,unrelated,unrelated,0,0.9942949026851476,0.9940343769728919,0.9948158860206604,
NA0_LAG10_012,NA0_LAG10,0,10,5,6,root,unrelated,0,0.5677140360673918,0.013596895563617017,0.7816939353942871,
NA0_LAG10_013,NA0_LAG10,0,10,1,2,root,unrelated,0,0.4182099606534129,0.13396740227552462,0.9673526287078857,
NA0_LAG10_013,NA0_LAG10,0,10,1,3,root,unrelated,0,0.4192611730603661,0.13408888771986305,0.9552288055419922,
NA0_LAG10_013,NA0_LAG10,0,10,1,4,root,unrelated,0,0.4145856977438291,0.12728636461148135,0.9594647884368896,
NA0_LAG10_013,NA0_LAG10,0,10,1,5,root,unrelated,0,0.41653402176320364,0.13415970296386606,0.9561529755592346,
NA0_LAG10_013,NA0_LAG10,0,10,1,6,root,unrelated,0,0.4145666027028128,0.1277244173419085,0.9748753309249878,
NA0_LAG10_013,NA0_LAG10,0,10,2,3,unrelated,unrelated,0,0.9947358664575293,0.9958110926414507,0.9943950176239014,
NA0_LAG10_013,NA0_LAG10,0,10,2,4,unrelated,unrelated,0,0.9947441274439061,0.9955112317038425,0.9967879056930542,
NA0_LAG10_013,NA0_LAG10,0,10,2,5,unrelated,unrelated,0,0.9947407015298536,0.9956486682187625,0.9960366487503052,
NA0_LAG10_013,NA0_LAG10,0,10,2,6,unrelated,unrelated,0,0.9944711909877456,0.9954114432043852,0.9953582882881165,
NA0_LAG10_013,NA0_LAG10,0,10,3,4,unrelated,unrelated,0,0.9947845242136377,0.995032413926327,0.9906973838806152,
NA0_LAG10_013,NA0_LAG10,0,10,3,5,unrelated,unrelated,0,0.9946759083667828,0.9946168479359644,0.9985052943229675,
